,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,lnprob
0,1.0805436796,148.346293417,-6.58862581045,8.23007271356e-06,48.2090698372,42.547059994,0.334035617595,0.978523087814,43.4668027518,40.3378564515,-10738428.9375
1,-3.35439097587,150.712320721,-4.47223099746,3.49237494057e-05,56.5333884105,54.8503652391,-0.0396083367259,1.68267590146,37.6630926451,25.747494113,-inf
2,79.691886292,110.311365784,-6.62524646515,2.49450966517e-05,78.5702176568,55.0733923663,0.0937863591736,0.767432502512,49.3043386401,47.0720534505,-inf
3,18.8132470522,117.91205705,-7.43827677152,1.18845051134e-05,70.1220076635,43.463484587,-0.161093259002,1.13449728207,36.0169474715,43.4649886763,-10733239.0312
4,2.55661033845,125.724303343,-5.86600744821,1.04051635814e-05,86.5247952307,37.7489972446,-0.0937254479442,0.341339610139,48.7929007478,26.8670617835,-11030984.6562
5,8.50834668751,164.564795967,-7.00165893117,1.66649073296e-05,50.9085592498,36.5389059709,0.53749297533,0.84705124453,32.8877997539,46.4712218658,-10733298.75
6,-20.1377879875,103.906911537,-6.04543437187,1.10005897131e-05,72.0848413102,34.4733476186,0.0805786663096,0.455074654504,28.1993198908,56.9434057995,-inf
7,66.591219847,137.594591883,-9.87381761863,1.2212075001e-05,46.6845901107,26.9650160426,0.0208129074024,1.02992234179,46.2190202099,17.929454631,-inf
8,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
9,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
10,-46.034764526,127.752380746,-2.04228252889,1.56020354756e-05,47.2030851517,41.5897087629,0.973630238428,0.595198407666,27.7020532916,33.7624285989,-inf
11,-23.2075966295,102.868392837,-4.81261072019,1.47745607477e-05,40.4179304428,35.5560061199,0.304578792606,1.37206864934,15.2636230861,28.7211474873,-inf
12,-5.33277993523,181.527769844,-5.74503410617,2.42910496665e-05,71.2355589072,32.4313979055,-0.73213601255,0.919392228029,53.6367234661,36.5538993906,-inf
13,76.4618909247,159.941999136,-6.83855295911,2.36483915887e-05,75.4928595793,43.3833537413,-0.473813674799,1.25359807,31.398550172,35.7680469607,-inf
14,10.5718632623,138.052921735,-7.52786935274,1.87710617309e-05,57.441024484,30.1597326412,0.323408151715,-0.00928095626888,40.0666325922,45.9568757463,-10733156.4062
15,19.9243841468,176.761468005,-7.33848498441,8.09871565128e-06,83.6295173267,45.3761857123,0.296154705715,0.417495260401,35.8016871451,53.0106429741,-10733207.9062
16,8.35975275994,133.147815041,-5.35031253168,1.13458021623e-05,59.0843053713,40.8590746179,0.686778501548,0.898531346385,26.476606761,40.0580528757,-13405676.0938
17,27.2177404772,119.741345685,-7.52002709581,1.08736278173e-05,57.9113044362,20.1155923118,0.955470932939,0.720704540054,37.711597511,32.7592835458,-10733219.25
18,20.1211066397,186.431265225,-7.41736654051,1.50969609203e-05,54.001838748,42.3271800276,0.197963359955,0.436820412213,47.9404359619,42.4845343268,-10733253.7188
19,6.88146706402,221.404493152,-7.13651745876,9.06323617077e-07,70.4855703239,42.8803566056,0.69618724028,0.0091334427635,32.1341776795,73.284702794,-10733323.5625
20,-4.4414123784,119.896150093,-5.40521464634,3.30767219872e-05,66.6067444842,41.7941821821,-0.638478724107,0.896709585622,28.2927392571,47.1134127982,-inf
21,5.40409217178,168.850680558,-6.09537774321,-1.25775785719e-06,32.8721177549,51.4861728924,0.563234537664,1.18233968774,15.1353377094,21.2134377634,-inf
22,8.97864925793,148.39835869,-8.93965439552,1.71335711858e-05,57.9644610989,45.6651083548,0.343322603974,1.07283136481,24.7479844344,53.1955230932,-10733398.25
23,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
