,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,lnprob
1,-3.35439097587,150.712320721,-4.47223099746,3.49237494057e-05,56.5333884105,54.8503652391,-0.0396083367259,1.68267590146,37.6630926451,25.747494113,-inf
8,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
9,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
20,-4.4414123784,119.896150093,-5.40521464634,3.30767219872e-05,66.6067444842,41.7941821821,-0.638478724107,0.896709585622,28.2927392571,47.1134127982,-inf
23,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
25,-3.35439097587,150.712320721,-4.47223099746,3.49237494057e-05,56.5333884105,54.8503652391,-0.0396083367259,1.68267590146,37.6630926451,25.747494113,-inf
32,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
33,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
44,-4.4414123784,119.896150093,-5.40521464634,3.30767219872e-05,66.6067444842,41.7941821821,-0.638478724107,0.896709585622,28.2927392571,47.1134127982,-inf
47,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
49,24.6905642592,153.955342218,-5.30368282541,3.09619398888e-05,63.1951560042,50.8212145886,-0.192174567314,1.53191131698,35.4619275564,29.26840425,-12610813.8125
56,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
57,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
68,8.18933818815,121.824312327,-6.14314951129,3.58686463476e-05,53.0519206471,38.1769993508,-1.0921376301,0.926519085963,17.804021452,61.4315236137,-10816693.875
71,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
80,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
81,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
92,8.18933818815,121.824312327,-6.14314951129,3.58686463476e-05,53.0519206471,38.1769993508,-1.0921376301,0.926519085963,17.804021452,61.4315236137,-10816693.875
95,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
104,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
105,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
116,8.18933818815,121.824312327,-6.14314951129,3.58686463476e-05,53.0519206471,38.1769993508,-1.0921376301,0.926519085963,17.804021452,61.4315236137,-10816693.875
119,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
128,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
129,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
140,8.18933818815,121.824312327,-6.14314951129,3.58686463476e-05,53.0519206471,38.1769993508,-1.0921376301,0.926519085963,17.804021452,61.4315236137,-10816693.875
143,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
152,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
153,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
164,12.0631857898,124.274588421,-6.15651244674,3.9269452379e-05,50.4490927568,38.6834885121,-1.25251126574,0.990990994225,16.3824228868,62.0452916438,-10803148.7812
167,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
176,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
177,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
188,11.3353544685,137.454774592,-6.41095111857,2.7337492e-05,58.1662174317,39.5391379487,-0.65216421101,0.796221521393,29.3149652363,51.2284583102,-10747438.875
191,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
200,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
201,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
212,11.3353544685,137.454774592,-6.41095111857,2.7337492e-05,58.1662174317,39.5391379487,-0.65216421101,0.796221521393,29.3149652363,51.2284583102,-10747438.875
215,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
224,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
225,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
236,11.3353544685,137.454774592,-6.41095111857,2.7337492e-05,58.1662174317,39.5391379487,-0.65216421101,0.796221521393,29.3149652363,51.2284583102,-10747438.875
239,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
248,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
249,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
260,17.6339634987,143.761302827,-6.70239469668,2.96282340969e-05,61.402464398,40.2654276636,-0.826618041113,0.69122076712,31.8771062155,55.3324722027,-10735427.5
263,-8.69606583663,208.120473572,-9.66800809343,2.85498985903e-05,56.9417641383,39.8242623678,-0.20250011993,0.299720498352,25.5185539174,23.9295282641,-inf
272,-18.7696456172,117.708856626,-4.56810660558,2.99095829316e-05,81.9832398418,45.8974885534,-0.123851301008,0.862893901322,40.191065829,30.8710501433,-inf
273,-20.4598324267,124.200383135,-4.5814805429,2.51737426421e-05,33.3509436144,35.3411527311,-0.23764801251,-0.0977220651322,41.6659637377,42.0457662931,-inf
284,17.6339634987,143.761302827,-6.70239469668,2.96282340969e-05,61.402464398,40.2654276636,-0.826618041113,0.69122076712,31.8771062155,55.3324722027,-10735427.5
